[-1.5342908   1.3201326   0.8306149  -1.989064   -0.72219265 -2.6250515 ]
[-1.5255094  1.3063204  0.8266195 -1.9890635 -0.7206199 -2.6249714]
[-1.519856   1.2971289  0.8247142 -1.9842963 -0.7181476 -2.6157014]
[-1.5266094   1.2975376   0.8290194  -1.9876585  -0.71867263 -2.6181538 ]
[-1.5364639  1.2998111  0.8335359 -1.991482  -0.7197263 -2.6193032]
[-1.5469136   1.2999367   0.8368683  -1.995662   -0.72151834 -2.6217742 ]
[-1.5588648   1.2994542   0.84243464 -2.000628   -0.7239639  -2.6257243 ]
[-1.5710042   1.2991223   0.84655285 -2.0056973  -0.72691244 -2.630801  ]
[-1.5793035  1.2976463  0.8471894 -1.995547  -0.7258159 -2.618128 ]
[-1.5889252   1.2988002   0.8470069  -1.9884355  -0.72598994 -2.6104937 ]
[-1.604245    1.3093444   0.85291433 -1.9849466  -0.727965   -2.6108646 ]
[-1.6170235   1.3228632   0.86520255 -1.9810686  -0.7283608  -2.6100116 ]
[-1.6232789  1.3373265  0.8732915 -1.9749805 -0.7288656 -2.6092834]
[-1.6218259   1.3492785   0.87662244 -1.9690801  -0.72956336 -2.6086946 ]
[-1.6221566   1.363224    0.88349974 -1.9676123  -0.73148143 -2.613165  ]
[-1.6249466   1.3834956   0.888347   -1.9680605  -0.73457235 -2.6230214 ]
[-1.6246533   1.402032    0.8889469  -1.9695513  -0.73780715 -2.633301  ]
[-1.6202939   1.417665    0.88535607 -1.9708258  -0.74065137 -2.6418402 ]
[-1.6090018   1.4251378   0.87294525 -1.979367   -0.74882066 -2.657048  ]
[-1.5863793   1.4218061   0.85650504 -1.9736996  -0.75247717 -2.655611  ]
[-1.5673683  1.4255619  0.8390579 -1.9734627 -0.7574804 -2.6594322]
[-1.5425799   1.4195919   0.82047296 -1.9651458  -0.75894594 -2.6515079 ]
[-1.5319111   1.4255598   0.80974793 -1.9653912  -0.76176894 -2.6533086 ]
[-1.5325867  1.443418   0.8003274 -1.970777  -0.7646315 -2.6619954]
[-1.5260403   1.4517046   0.7910794  -1.9715726  -0.76462394 -2.6609979 ]
