"[228, 221, 6, 3.5, 5]","[223, 228, 4, 9, 5]","[219, 228, 4, 4.5, 5]"
"[228, 221, 7, 3.5, 5]","[228, 221, 6, 3.5, 5]","[223, 228, 4, 9, 5]"
"[228, 221, 7, 3.5, 5]","[228, 221, 7, 3.5, 5]","[228, 221, 6, 3.5, 5]"
"[228, 213, 7, 3.5, 5]","[228, 221, 7, 3.5, 5]","[228, 221, 7, 3.5, 5]"
"[228, 213, 8, 3.5, 5]","[228, 213, 7, 3.5, 5]","[228, 221, 7, 3.5, 5]"
"[228, 213, 8, 3.5, 5]","[228, 213, 8, 3.5, 5]","[228, 213, 7, 3.5, 5]"
"[228, 209, 8, 3.5, 5]","[228, 213, 8, 3.5, 5]","[228, 213, 8, 3.5, 5]"
"[228, 209, 8, 3.5, 5]","[228, 209, 8, 3.5, 5]","[228, 213, 8, 3.5, 5]"
"[228, 209, 8, 3.5, 5]","[228, 209, 8, 3.5, 5]","[228, 209, 8, 3.5, 5]"
"[228, 206, 6, 3.5, 5]","[228, 209, 8, 3.5, 5]","[228, 209, 8, 3.5, 5]"
"[228, 206, 6, 3.5, 4]","[228, 206, 6, 3.5, 5]","[228, 209, 8, 3.5, 5]"
"[228, 206, 6, 4.5, 4]","[228, 206, 6, 3.5, 4]","[228, 206, 6, 3.5, 5]"
"[228, 206, 5, 6, 4]","[228, 206, 6, 4.5, 4]","[228, 206, 6, 3.5, 4]"
"[228, 212, 5, 6, 4]","[228, 206, 5, 6, 4]","[228, 206, 6, 4.5, 4]"
"[228, 206, 4, 6, 4]","[228, 212, 5, 6, 4]","[228, 206, 5, 6, 4]"
"[228, 206, 4, 6, 4]","[228, 206, 4, 6, 4]","[228, 212, 5, 6, 4]"
"[228, 203, 5, 3.5, 4]","[228, 206, 4, 6, 4]","[228, 206, 4, 6, 4]"
"[228, 203, 6, 3.5, 4]","[228, 203, 5, 3.5, 4]","[228, 206, 4, 6, 4]"
"[228, 203, 6, 3.5, 4]","[228, 203, 6, 3.5, 4]","[228, 203, 5, 3.5, 4]"
"[228, 219, 8, 3.5, 4]","[228, 203, 6, 3.5, 4]","[228, 203, 6, 3.5, 4]"
"[228, 216, 10, 3.5, 4]","[228, 219, 8, 3.5, 4]","[228, 203, 6, 3.5, 4]"
"[228, 216, 10, 9, 4]","[228, 216, 10, 3.5, 4]","[228, 219, 8, 3.5, 4]"
"[227, 211, 11, 3.5, 4]","[228, 216, 10, 9, 4]","[228, 216, 10, 3.5, 4]"
"[227, 204, 12, 3.5, 4]","[227, 211, 11, 3.5, 4]","[228, 216, 10, 9, 4]"
"[227, 204, 13, 3.5, 4]","[227, 204, 12, 3.5, 4]","[227, 211, 11, 3.5, 4]"
"[227, 197, 14, 3.5, 4]","[227, 204, 13, 3.5, 4]","[227, 204, 12, 3.5, 4]"
"[227, 197, 14, 3.5, 3]","[227, 197, 14, 3.5, 4]","[227, 204, 13, 3.5, 4]"
"[227, 197, 14, 3.5, 3]","[227, 197, 14, 3.5, 3]","[227, 197, 14, 3.5, 4]"
"[226, 185, 18, 4.5, 3]","[227, 197, 14, 3.5, 3]","[227, 197, 14, 3.5, 3]"
"[226, 181, 20, 4, 3]","[226, 185, 18, 4.5, 3]","[227, 197, 14, 3.5, 3]"
"[225, 166, 21, 3.5, 3]","[226, 181, 20, 4, 3]","[226, 185, 18, 4.5, 3]"
"[225, 157, 22, 3.5, 3]","[225, 166, 21, 3.5, 3]","[226, 181, 20, 4, 3]"
"[225, 157, 23, 3.5, 3]","[225, 157, 22, 3.5, 3]","[225, 166, 21, 3.5, 3]"
"[225, 157, 23, 3.5, 2]","[225, 157, 23, 3.5, 3]","[225, 157, 22, 3.5, 3]"
"[225, 155, 23, 3.5, 2]","[225, 157, 23, 3.5, 2]","[225, 157, 23, 3.5, 3]"
"[224, 151, 24, 3.5, 2]","[225, 155, 23, 3.5, 2]","[225, 157, 23, 3.5, 2]"
"[224, 151, 24, 3.5, 2]","[224, 151, 24, 3.5, 2]","[225, 155, 23, 3.5, 2]"
"[223, 146, 20, 4.5, 2]","[224, 151, 24, 3.5, 2]","[224, 151, 24, 3.5, 2]"
"[223, 146, 20, 3.5, 2]","[223, 146, 20, 4.5, 2]","[224, 151, 24, 3.5, 2]"
"[223, 118, 19, 3.5, 1]","[223, 146, 20, 3.5, 2]","[223, 146, 20, 4.5, 2]"
"[223, 118, 17, 6, 1]","[223, 118, 19, 3.5, 1]","[223, 146, 20, 3.5, 2]"
"[222, 155, 16, 6, 1]","[223, 118, 17, 6, 1]","[223, 118, 19, 3.5, 1]"
"[222, 155, 16, 6, 1]","[222, 155, 16, 6, 1]","[223, 118, 17, 6, 1]"
