188.39088,136.76598,-408.44177,-17.5767,-18.110226,-77.48464,,0,1,2,3,4,5
160.79317,117.54793,-348.91586,-13.167925,-15.5225935,-63.772728,,,,,,,
158.33214,116.273026,-344.6001,-13.477303,-15.651533,-63.326057,,,,,,,
152.32443,112.21069,-332.35318,-13.148157,-15.151111,-61.47072,,,,,,,
153.75925,113.20213,-335.1331,-13.14655,-15.030779,-62.189262,,,,,,,
146.17303,107.37566,-317.34982,-12.13795,-14.099199,-58.83669,,,,,,,
150.39122,109.952705,-325.32077,-12.132897,-14.490375,-59.936222,,,,,,,
142.73846,104.420555,-308.70163,-11.549688,-13.828676,-56.546246,,,,,,,
145.53625,106.678024,-315.23297,-12.08892,-14.061932,-57.877823,,,,,,,
152.77382,112.06755,-331.39355,-12.99413,-14.77214,-61.255146,,,,,,,
149.35382,109.6248,-325.41946,-12.836026,-14.3057995,-60.22886,,,,,,,
151.10774,111.44107,-330.62567,-12.90345,-14.6656,-61.387486,,,,,,,
143.87613,106.34257,-315.16968,-12.030539,-14.024694,-58.32413,,,,,,,
139.06956,103.091705,-305.84918,-11.37559,-13.328551,-55.810738,,,,,,,
130.44226,96.292366,-286.2125,-10.505022,-12.355645,-51.766125,,,,,,,
117.005226,86.495346,-256.18442,-9.596071,-11.326523,-46.36018,,,,,,,
117.583626,87.28093,-256.72708,-9.992086,-11.876863,-46.698963,,,,,,,
125.73692,93.029106,-273.14273,-10.7895355,-12.73556,-50.311966,,,,,,,
136.40364,100.684654,-295.68378,-11.466387,-13.326086,-54.953506,,,,,,,
148.69795,109.554855,-321.9023,-12.407173,-13.757827,-60.33557,,,,,,,
161.35806,118.85276,-348.4325,-13.509173,-15.118653,-65.546715,,,,,,,
164.2273,121.042366,-355.0686,-13.84536,-15.965268,-66.17011,,,,,,,
163.66057,120.44431,-355.2604,-13.829716,-16.311699,-65.175964,,,,,,,
161.61029,118.427734,-352.00708,-13.665171,-16.071167,-63.977848,,,,,,,
150.86115,110.3487,-329.31393,-12.597725,-14.673365,-60.046196,,,,,,,
144.86719,106.15281,-316.19144,-12.158262,-13.788146,-58.368374,,,,,,,
153.63106,112.897896,-334.91055,-13.01776,-14.660625,-62.5237,,,,,,,
158.90083,116.79397,-345.54752,-13.774324,-15.414508,-64.40535,,,,,,,
149.67513,109.99053,-325.2278,-12.8053465,-14.685567,-60.10394,,,,,,,
156.0591,114.337456,-338.63602,-13.080248,-15.102033,-62.12788,,,,,,,
