"['209', '109', '16', 2, 0]"
"['209', '183', '15', 2, 0]"
"['209', '177', '15', 9, 0]"
"['209', '177', '14', 2, 0]"
"['209', '177', '15', 9, 0]"
"['209', '109', '15', 2, 0]"
"['209', '109', '14', 2, 0]"
"['209', '179', '13', 2, 0]"
"['209', '179', '12', 9, 0]"
"['209', '181', '9', 2, 0]"
"['209', '109', '14', 9, 0]"
"['209', '128', '12', 2, 0]"
"['209', '128', '15', 2, 0]"
"['209', '185', '11', 4.5, 0]"
"['209', '185', '12', 9, 0]"
"['209', '142', '12', 2, 0]"
"['209', '185', '11', 2, 0]"
"['209', '185', '8', 9, 0]"
"['209', '185', '10', 2, 0]"
"['209', '110', '7', 9, 0]"
"['209', '193', '10', 2, 0]"
"['209', '119', '6', 9, 0]"
"['209', '195', '11', 2, 0]"
"['209', '195', '8', 9, 0]"
"['209', '197', '10', 2, 0]"
"['209', '110', '5', 9, 0]"
"['209', '110', '5', 2, 0]"
"['209', '193', '5', 3.5, 0]"
"['209', '192', '3', 9, 0]"
"['209', '192', '2', 2, 0]"
"['209', '164', '2', 9, 0]"
"['209', '203', '0', 2, 0]"
"['209', '203', '0', 9, 0]"
"['209', '205', '1', 6, 0]"
"['209', '209', '0', 9, 0]"
"['209', '209', '2', 9, 0]"
"['209', '209', '2', 9, 0]"
"['209', '209', '5', 9, 0]"
"['209', '191', '5', 9, 0]"
"['209', '191', '5', 2, 0]"
"['209', '191', '5', 9, 0]"
"['209', '199', '7', 2, 0]"
"['209', '164', '9', 9, 0]"
"['209', '199', '8', 2, 0]"
"['209', '146', '9', 9, 0]"
"['209', '191', '7', 2, 0]"
"['209', '137', '8', 9, 0]"
"['209', '191', '10', 2, 0]"
"['209', '146', '10', 9, 0]"
"['209', '193', '8', 2, 0]"
"['209', '119', '9', 9, 0]"
"['209', '189', '9', 2, 0]"
"['209', '191', '6', 4.5, 0]"
"['209', '191', '7', 9, 0]"
"['209', '191', '7', 2, 0]"
"['209', '169', '7', 9, 0]"
"['209', '195', '8', 3.5, 0]"
"['209', '146', '8', 9, 0]"
"['209', '185', '8', 2, 0]"
"['209', '137', '8', 9, 0]"
"['209', '193', '5', 2, 0]"
"['209', '137', '7', 9, 0]"
"['209', '137', '6', 2, 0]"
"['209', '164', '8', 2, 0]"
"['209', '164', '8', 9, 0]"
"['209', '197', '10', 2, 0]"
"['209', '137', '13', 9, 0]"
"['209', '193', '14', 2, 0]"
"['209', '119', '13', 9, 0]"
"['209', '109', '13', 2, 0]"
"['209', '109', '11', 2, 0]"
"['209', '109', '10', 2, 0]"
"['209', '183', '8', 3.5, 0]"
"['209', '183', '8', 4.5, 0]"
"['209', '187', '5', 9, 0]"
"['209', '173', '5', 2, 0]"
"['209', '173', '4', 4, 0]"
"['209', '137', '3', 9, 0]"
"['209', '189', '3', 2, 0]"
"['209', '189', '3', 3.5, 0]"
"['209', '199', '3', 9, 0]"
"['209', '199', '4', 2, 0]"
"['209', '182', '4', 9, 0]"
"['209', '173', '9', 2, 0]"
"['209', '173', '9', 9, 0]"
"['209', '173', '12', 2, 0]"
"['209', '128', '11', 9, 0]"
"['209', '109', '10', 2, 0]"
"['209', '109', '6', 2, 0]"
"['209', '109', '5', 2, 0]"
"['209', '189', '2', 2, 0]"
"['209', '197', '1', 9, 0]"
"['209', '199', '1', 2, 0]"
"['209', '199', '1', 9, 0]"
"['209', '191', '1', 6, 0]"
"['209', '207', '5', 6, 0]"
"['209', '203', '5', 9, 0]"
"['209', '203', '6', 9, 0]"
"['209', '203', '8', 9, 0]"
"['209', '164', '8', 6, 0]"
"['209', '155', '8', 6, 0]"
"['209', '155', '10', 2, 0]"
"['209', '161', '9', 9, 0]"
"['209', '193', '9', 2, 0]"
"['209', '193', '10', 9, 0]"
"['209', '191', '10', 6, 0]"
"['209', '128', '11', 6, 0]"
"['209', '149', '12', 2, 0]"
"['209', '149', '12', 6, 0]"
"['209', '187', '12', 2, 0]"
"['209', '137', '12', 9, 0]"
"['209', '137', '12', 4.5, 0]"
"['209', '109', '12', 4.5, 0]"
"['209', '155', '11', 2, 0]"
"['209', '155', '9', 6, 0]"
"['209', '185', '8', 2, 0]"
"['209', '185', '8', 9, 0]"
"['209', '137', '7', 2, 0]"
"['209', '137', '6', 6, 0]"
"['209', '193', '7', 2, 0]"
"['209', '167', '8', 9, 0]"
"['209', '197', '8', 2, 0]"
"['209', '146', '10', 9, 0]"
"['209', '193', '10', 2, 0]"
"['209', '137', '9', 9, 0]"
"['209', '189', '9', 2, 0]"
"['209', '119', '9', 9, 0]"
"['209', '191', '7', 2, 0]"
"['209', '128', '7', 9, 0]"
"['209', '191', '5', 2, 0]"
"['209', '146', '4', 9, 0]"
"['209', '195', '5', 2, 0]"
"['209', '164', '5', 9, 0]"
"['209', '201', '6', 2, 0]"
"['209', '201', '6', 6, 0]"
"['209', '199', '8', 9, 0]"
"['209', '173', '9', 6, 0]"
"['209', '155', '9', 6, 0]"
"['209', '161', '10', 6, 0]"
"['209', '155', '11', 6, 0]"
"['209', '155', '11', 2, 0]"
"['209', '149', '11', 9, 0]"
"['209', '110', '10', 2, 0]"
"['209', '110', '8', 4, 0]"
"['209', '187', '7', 2, 0]"
"['209', '169', '7', 9, 0]"
"['209', '169', '6', 2, 0]"
"['209', '169', '6', 9, 0]"
"['209', '146', '5', 2, 0]"
"['209', '195', '4', 9, 0]"
"['209', '197', '5', 9, 0]"
"['209', '197', '4', 6, 0]"
"['209', '164', '4', 9, 0]"
"['209', '179', '4', 6, 0]"
"['209', '179', '4', 6, 0]"
"['209', '179', '4', 9, 0]"
"['209', '185', '2', 2, 0]"
"['209', '185', '4', 9, 0]"
"['209', '173', '4', 2, 0]"
"['209', '191', '3', 9, 0]"
"['209', '191', '5', 6, 0]"
"['209', '201', '5', 6, 0]"
"['209', '191', '4', 9, 0]"
"['209', '191', '7', 2, 0]"
"['209', '179', '8', 9, 0]"
"['209', '201', '8', 6, 0]"
"['209', '201', '11', 6, 0]"
"['209', '146', '12', 6, 0]"
"['209', '161', '12', 6, 0]"
"['209', '161', '14', 6, 0]"
"['209', '143', '16', 6, 0]"
"['209', '137', '14', 2, 0]"
"['209', '137', '15', 6, 0]"
"['209', '125', '17', 6, 0]"
"['209', '125', '14', 2, 0]"
"['209', '125', '13', 6, 0]"
"['209', '119', '14', 2, 0]"
"['209', '125', '12', 6, 0]"
"['209', '183', '13', 6, 0]"
"['209', '125', '10', 6, 0]"
"['209', '125', '11', 2, 0]"
"['209', '131', '9', 6, 0]"
"['209', '189', '9', 6, 0]"
"['209', '143', '10', 6, 0]"
"['209', '155', '8', 2, 0]"
"['209', '155', '11', 6, 0]"
"['209', '189', '10', 6, 0]"
"['209', '189', '11', 6, 0]"
"['209', '143', '9', 4.5, 0]"
"['209', '149', '11', 4, 0]"
"['209', '149', '9', 6, 0]"
"['209', '159', '7', 6, 0]"
"['209', '143', '7', 6, 0]"
"['209', '155', '5', 6, 0]"
"['209', '155', '5', 6, 0]"
"['209', '167', '6', 6, 0]"
"['209', '179', '4', 2, 0]"
"['209', '179', '4', 9, 0]"
"['209', '179', '3', 6, 0]"
"['209', '173', '5', 2, 0]"
"['209', '173', '5', 9, 0]"
"['209', '164', '6', 2, 0]"
"['209', '164', '8', 9, 0]"
"['209', '199', '9', 2, 0]"
"['209', '199', '9', 9, 0]"
"['209', '199', '9', 6, 0]"
"['209', '128', '13', 6, 0]"
"['209', '155', '14', 6, 0]"
"['209', '155', '16', 6, 0]"
"['209', '155', '13', 6, 0]"
"['209', '125', '14', 6, 0]"
"['209', '131', '12', 2, 0]"
"['209', '131', '12', 4, 0]"
"['209', '131', '9', 6, 0]"
"['209', '161', '6', 6, 0]"
"['209', '137', '5', 6, 0]"
"['209', '137', '5', 2, 0]"
"['209', '173', '5', 6, 0]"
"['209', '173', '5', 6, 0]"
"['209', '179', '8', 6, 0]"
"['209', '179', '5', 6, 0]"
"['209', '179', '9', 6, 0]"
"['209', '179', '9', 6, 0]"
"['209', '161', '7', 6, 0]"
"['209', '179', '9', 6, 0]"
"['209', '155', '7', 6, 0]"
"['209', '155', '5', 2, 0]"
"['209', '167', '5', 6, 0]"
"['209', '195', '5', 6, 0]"
"['209', '195', '5', 9, 0]"
"['209', '179', '6', 2, 0]"
