CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0.2008,-0.13,-0.59,0.54,0.04,-0.009,0.008,,
0.2017,-0.41,-0.71,0.63,0.034,-0.021,0.005,,
0.2025,-0.66,-0.4,0.77,0.024,-0.026,0.002,,
0.2033,-0.62,-0.17,0.87,0.013,-0.023,0.003,,
0.2042,-0.56,0.06,1.12,0.002,-0.016,0.002,,
0.205,-0.51,0.14,1.21,-0.005,-0.007,0.001,,
0.2058,-0.57,0.26,1.29,-0.012,-0.006,0.002,,
0.2067,-0.58,0.35,0.78,-0.01,0.009,0.001,,
0.2075,-0.5,0.25,0.99,-0.002,0.011,0.004,,
0.2083,-0.39,-0.01,0.96,0.005,0.015,0.004,,
0.2092,-0.34,-0.07,0.89,0.008,0.019,0.005,,
0.21,-0.22,-0.09,0.68,0.015,0.022,0.005,,
0.2108,-0.09,-0.16,0.62,0.023,0.029,0.005,,
0.2117,0.21,-0.25,0.71,0.03,0.031,0.008,,
0.2125,0.33,-0.35,0.7,0.04,0.026,0.009,,
0.2133,0.22,-0.5,0.6,0.044,0.014,0.007,,
0.2142,-0.01,-0.59,0.66,0.046,0.005,0.003,,
0.215,-0.12,-0.66,0.62,0.038,0,0.001,,
0.2158,-0.11,-0.39,0.7,0.027,0.004,-0.001,,
0.2167,0.09,-0.09,0.91,0.017,0.008,-0.004,,
0.2175,0.21,0.09,0.81,0.013,0.011,-0.008,,
0.2183,0.23,0.17,0.92,0.009,0.013,-0.009,,
0.2192,0.26,0.12,0.56,0.013,0.017,-0.012,,
0.22,0.22,0.15,0.27,0.018,0.022,-0.012,,
0.2208,0.36,-0.05,0.13,0.033,0.031,-0.013,,
0.2217,0.52,-0.4,0.12,0.043,0.037,-0.011,,
0.2225,0.65,-0.65,0.2,0.045,0.041,-0.008,,
0.2233,0.73,-0.63,0.4,0.038,0.044,-0.008,,
0.2242,0.75,-0.38,0.38,0.03,0.038,-0.007,,
0.225,0.46,-0.01,0.46,0.024,0.025,-0.005,,
