338.9292,-157.28424,-187.17096,-385.44055,43.544643,-169.67395,,0,1,2,3,4,5
161.79762,118.566574,-356.58447,-8.561901,-15.897704,-74.062195,,,,,,,
167.54083,123.04809,-370.24597,-9.229052,-17.093203,-77.84684,,,,,,,
170.14755,124.35848,-376.95718,-10.283223,-16.910141,-79.16964,,,,,,,
169.53851,123.192345,-377.30566,-11.733709,-15.516957,-78.52764,,,,,,,
163.58118,118.07798,-366.1402,-13.264153,-13.755437,-74.962906,,,,,,,
155.10925,111.44402,-348.2403,-14.640138,-12.491626,-69.41342,,,,,,,
157.31502,112.84038,-353.66434,-16.149414,-12.566486,-68.933685,,,,,,,
157.46626,113.06043,-353.8436,-16.560926,-12.873526,-67.97497,,,,,,,
161.32079,115.658905,-362.0777,-16.619701,-13.941842,-68.42865,,,,,,,
170.0835,121.3764,-381.0518,-16.401413,-16.217474,-71.70783,,,,,,,
162.00876,114.496574,-360.13693,-13.76748,-16.287474,-68.03849,,,,,,,
161.65154,113.59564,-356.51093,-12.125837,-16.188522,-67.927635,,,,,,,
161.38493,113.19002,-352.52435,-11.271755,-15.235954,-68.02817,,,,,,,
155.56258,108.852684,-337.62317,-10.595911,-13.455469,-66.37675,,,,,,,
158.02333,110.72649,-341.13934,-11.218474,-12.841172,-68.45487,,,,,,,
164.33781,115.43512,-353.30438,-12.649244,-12.916307,-71.800705,,,,,,,
169.43053,119.26796,-364.90753,-14.495398,-13.805296,-74.1323,,,,,,,
173.73051,122.71463,-375.6407,-15.874453,-15.325482,-75.61802,,,,,,,
166.1131,117.723236,-361.4211,-15.273494,-16.006462,-71.48794,,,,,,,
155.06192,110.45283,-339.61136,-14.153561,-16.01268,-66.01412,,,,,,,
150.69923,108.02176,-331.23715,-14.073132,-16.152315,-63.85067,,,,,,,
152.79376,110.282005,-335.92868,-14.7930765,-16.411339,-64.77206,,,,,,,
156.71437,113.96538,-343.7242,-15.643572,-16.161615,-66.70122,,,,,,,
167.25562,122.35724,-365.3474,-16.46225,-15.822948,-71.780136,,,,,,,
166.82512,122.73069,-363.90875,-15.457026,-14.271627,-71.661674,,,,,,,
165.71774,122.62844,-361.86942,-13.966354,-13.5074625,-70.779076,,,,,,,
158.08913,117.450325,-346.33228,-12.530941,-13.064658,-66.969,,,,,,,
143.7761,106.565056,-315.77243,-11.234217,-12.493964,-60.820683,,,,,,,
135.91998,100.636955,-298.4031,-10.731224,-12.79585,-57.543762,,,,,,,
120.26038,89.10226,-263.30865,-9.761053,-12.263722,-51.042854,,,,,,,
