"[220, 172, 52, 2, 6]","[220, 172, 52, 2, 6]","[219, 172, 43, 2, 7]"
"[221, 141, 53, 4, 6]","[220, 172, 52, 2, 6]","[220, 172, 52, 2, 6]"
"[221, 141, 53, 2, 5]","[221, 141, 53, 4, 6]","[220, 172, 52, 2, 6]"
"[222, 33, 53, 2, 5]","[221, 141, 53, 2, 5]","[221, 141, 53, 4, 6]"
"[222, 33, 53, 3.5, 4]","[222, 33, 53, 2, 5]","[221, 141, 53, 2, 5]"
"[222, 33, 54, 2, 4]","[222, 33, 53, 3.5, 4]","[222, 33, 53, 2, 5]"
"[222, 122, 51, 2, 4]","[222, 33, 54, 2, 4]","[222, 33, 53, 3.5, 4]"
"[223, 43, 50, 2, 3]","[222, 122, 51, 2, 4]","[222, 33, 54, 2, 4]"
"[223, 122, 45, 4, 3]","[223, 43, 50, 2, 3]","[222, 122, 51, 2, 4]"
"[223, 122, 45, 4.5, 2]","[223, 122, 45, 4, 3]","[223, 43, 50, 2, 3]"
"[224, 126, 43, 4.5, 2]","[223, 122, 45, 4.5, 2]","[223, 122, 45, 4, 3]"
"[224, 35, 42, 4.5, 2]","[224, 126, 43, 4.5, 2]","[223, 122, 45, 4.5, 2]"
"[224, 35, 40, 4.5, 1]","[224, 35, 42, 4.5, 2]","[224, 126, 43, 4.5, 2]"
"[225, 36, 36, 4.5, 1]","[224, 35, 40, 4.5, 1]","[224, 35, 42, 4.5, 2]"
"[225, 36, 36, 4.5, 1]","[225, 36, 36, 4.5, 1]","[224, 35, 40, 4.5, 1]"
"[225, 36, 32, 4.5, 0]","[225, 36, 36, 4.5, 1]","[225, 36, 36, 4.5, 1]"
"[226, 48, 27, 6, 0]","[225, 36, 32, 4.5, 0]","[225, 36, 36, 4.5, 1]"
"[226, 66, 21, 6, 0]","[226, 48, 27, 6, 0]","[225, 36, 32, 4.5, 0]"
"[226, 37, 15, 6, 0]","[226, 66, 21, 6, 0]","[226, 48, 27, 6, 0]"
"[226, 37, 9, 3.5, 0]","[226, 37, 15, 6, 0]","[226, 66, 21, 6, 0]"
"[227, 66, 6, 6, 0]","[226, 37, 9, 3.5, 0]","[226, 37, 15, 6, 0]"
"[227, 66, 1, 6, 0]","[227, 66, 6, 6, 0]","[226, 37, 9, 3.5, 0]"
"[227, 175, -5, 6, 0]","[227, 66, 1, 6, 0]","[227, 66, 6, 6, 0]"
